City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,tual,-5.6667,132.75,28.28,74,100,0.51,ID,1713365811
355,kidal,18.4411,1.4078,36.17,6,0,3.8,ML,1713365812
356,vryheid,-27.7695,30.7917,18.59,66,29,3.75,ZA,1713365813
357,east london,-33.0153,27.9116,24.52,64,0,5.66,ZA,1713365536
358,camana,-16.6228,-72.7111,21.76,80,70,3.65,PE,1713365814
359,dielheim,49.2842,8.7381,12.04,53,100,4.49,DE,1713365815
360,lugazi,0.3772,32.9197,24.16,70,97,2.29,UG,1713365816
361,punta del este,-34.9667,-54.95,20.06,78,20,8.05,UY,1713365525
362,vilyuysk,63.7553,121.6247,-2.78,95,100,4.92,RU,1713365817
363,mpulungu,-8.7623,31.1141,25.86,76,69,1.95,ZM,1713365818
364,broken hill,-31.95,141.4333,14.59,49,0,5.22,AU,1713365818
